match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp
Uruguay vs Bayer 04 Leverkusen,Бундеслига,2026-03-04,19:30,Тотал,Меньше 2.5,0.9697,2.2,0.4545,0.5151,236.1,🔥 ВЫСОКАЯ,2026-02-26T19:08:15
RC Strasbourg Alsace vs Racing Club de Lens,Лига 1,2026-02-27,19:45,Исход,Победа хозяев (1),0.5417,2.5,0.4,0.1417,59.05,🔥 ВЫСОКАЯ,2026-02-26T19:08:16
Wolverhampton Wanderers vs Aston Villa,Премьер-лига,2026-02-27,20:00,Тотал,Больше 2.5,0.5727,2.04,0.4902,0.0825,40.46,🔥 ВЫСОКАЯ,2026-02-26T19:27:56
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Исход,Победа хозяев (1),0.922,1.45,0.6897,0.2324,187.2,🔥 ВЫСОКАЯ,2026-02-26T19:28:24
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Тотал,Больше 2.5,0.8217,1.4,0.7143,0.1074,93.96,🔥 ВЫСОКАЯ,2026-02-26T19:28:24
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Тотал,Больше 3.5,0.6518,2.2,0.4545,0.1972,90.4,🔥 ВЫСОКАЯ,2026-02-26T19:28:24
Newcastle United vs Everton,Премьер-лига,2026-02-28,15:00,Исход,Победа хозяев (1),0.8092,1.79,0.5587,0.2505,141.9,🔥 ВЫСОКАЯ,2026-02-26T19:28:25
Newcastle United vs Everton,Премьер-лига,2026-02-28,15:00,Тотал,Больше 2.5,0.6509,1.81,0.5525,0.0985,55.0,🔥 ВЫСОКАЯ,2026-02-26T19:28:25
Wolverhampton Wanderers vs Aston Villa,Премьер-лига,2026-02-27,20:00,Тотал,Больше 2.5,0.6438,2.04,0.4902,0.1536,75.32,🔥 ВЫСОКАЯ,2026-02-26T20:11:29
Haugesund vs Brentford,Премьер-лига,2026-02-28,15:00,Исход,Ничья (X),0.5595,4.1,0.2439,0.3156,104.35,🔥 ВЫСОКАЯ,2026-02-26T20:12:37
Haugesund vs Brentford,Премьер-лига,2026-02-28,15:00,Тотал,Меньше 2.5,0.9605,2.04,0.4902,0.4703,230.62,🔥 ВЫСОКАЯ,2026-02-26T20:12:37
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Исход,Победа хозяев (1),0.8943,1.45,0.6897,0.2046,164.81,🔥 ВЫСОКАЯ,2026-02-26T20:12:38
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Тотал,Больше 2.5,0.884,1.4,0.7143,0.1697,148.46,🔥 ВЫСОКАЯ,2026-02-26T20:12:38
Liverpool vs West Ham United,Премьер-лига,2026-02-28,15:00,Тотал,Больше 3.5,0.7493,2.2,0.4545,0.2947,135.07,🔥 ВЫСОКАЯ,2026-02-26T20:12:38
Newcastle United vs Everton,Премьер-лига,2026-02-28,15:00,Исход,Победа хозяев (1),0.8384,1.79,0.5587,0.2797,158.46,🔥 ВЫСОКАЯ,2026-02-26T20:12:39
Newcastle United vs Everton,Премьер-лига,2026-02-28,15:00,Тотал,Больше 2.5,0.7846,1.81,0.5525,0.2321,129.66,🔥 ВЫСОКАЯ,2026-02-26T20:12:39
Wisla Plock vs Manchester City,Премьер-лига,2026-02-28,17:30,Исход,Ничья (X),0.5155,4.6,0.2174,0.2981,95.22,🔥 ВЫСОКАЯ,2026-02-26T20:12:54
Wisla Plock vs Manchester City,Премьер-лига,2026-02-28,17:30,Тотал,Меньше 2.5,0.9434,2.46,0.4065,0.5369,226.17,🔥 ВЫСОКАЯ,2026-02-26T20:12:54
Brighton & Hove Albion vs Nottingham Forest,Премьер-лига,2026-03-01,14:00,Исход,Победа хозяев (1),0.7739,2.16,0.463,0.3109,144.74,🔥 ВЫСОКАЯ,2026-02-26T20:12:54
Brighton & Hove Albion vs Nottingham Forest,Премьер-лига,2026-03-01,14:00,Тотал,Больше 2.5,0.7605,1.89,0.5291,0.2314,122.84,🔥 ВЫСОКАЯ,2026-02-26T20:12:54
Manchester United vs Crystal Palace,Премьер-лига,2026-03-01,14:00,Исход,Победа хозяев (1),0.7256,1.58,0.6329,0.0927,63.15,🔥 ВЫСОКАЯ,2026-02-26T20:12:55
Manchester United vs Crystal Palace,Премьер-лига,2026-03-01,14:00,Тотал,Больше 2.5,0.7076,1.7,0.5882,0.1194,72.47,🔥 ВЫСОКАЯ,2026-02-26T20:12:55
Fulham vs Tottenham Hotspur,Премьер-лига,2026-03-01,14:00,Исход,Победа хозяев (1),0.6965,2.19,0.4566,0.2399,110.37,🔥 ВЫСОКАЯ,2026-02-26T20:12:56
Fulham vs Tottenham Hotspur,Премьер-лига,2026-03-01,14:00,Тотал,Больше 2.5,0.8416,1.8,0.5556,0.2861,160.92,🔥 ВЫСОКАЯ,2026-02-26T20:12:56
Arsenal vs Chelsea,Премьер-лига,2026-03-01,16:30,Исход,Победа хозяев (1),0.8691,1.67,0.5988,0.2703,168.4,🔥 ВЫСОКАЯ,2026-02-26T20:12:57
Arsenal vs Chelsea,Премьер-лига,2026-03-01,16:30,Тотал,Больше 2.5,0.8953,1.79,0.5587,0.3367,190.71,🔥 ВЫСОКАЯ,2026-02-26T20:12:57
Everton vs Haugesund,Премьер-лига,2026-03-03,19:30,Исход,Ничья (X),0.5765,3.9,0.2564,0.3201,107.61,🔥 ВЫСОКАЯ,2026-02-26T20:12:58
Everton vs Haugesund,Премьер-лига,2026-03-03,19:30,Тотал,Меньше 2.5,0.9668,1.95,0.5128,0.454,232.97,🔥 ВЫСОКАЯ,2026-02-26T20:12:58
Wisla Plock vs Sunderland,Премьер-лига,2026-03-03,19:30,Исход,Ничья (X),0.5678,3.72,0.2688,0.299,102.23,🔥 ВЫСОКАЯ,2026-02-26T20:12:58
Wisla Plock vs Sunderland,Премьер-лига,2026-03-03,19:30,Тотал,Меньше 2.5,0.9636,1.83,0.5464,0.4172,229.95,🔥 ВЫСОКАЯ,2026-02-26T20:12:58
Wolverhampton Wanderers vs Liverpool,Премьер-лига,2026-03-03,20:15,Исход,Победа гостей (2),0.7852,1.5,0.6667,0.1185,88.9,🔥 ВЫСОКАЯ,2026-02-26T20:13:12
Wolverhampton Wanderers vs Liverpool,Премьер-лига,2026-03-03,20:15,Тотал,Больше 2.5,0.7436,1.58,0.6329,0.1107,75.4,🔥 ВЫСОКАЯ,2026-02-26T20:13:12
Wolverhampton Wanderers vs Liverpool,Премьер-лига,2026-03-03,20:15,Тотал,Больше 3.5,0.5425,2.46,0.4065,0.136,57.29,🔥 ВЫСОКАЯ,2026-02-26T20:13:12
Aston Villa vs Chelsea,Премьер-лига,2026-03-04,19:30,Исход,Победа хозяев (1),0.5908,2.78,0.3597,0.2311,90.25,🔥 ВЫСОКАЯ,2026-02-26T20:13:12
Aston Villa vs Chelsea,Премьер-лига,2026-03-04,19:30,Тотал,Больше 2.5,0.8477,1.72,0.5814,0.2663,159.07,🔥 ВЫСОКАЯ,2026-02-26T20:13:12
Fulham vs West Ham United,Премьер-лига,2026-03-04,19:30,Исход,Победа хозяев (1),0.6036,2.1,0.4762,0.1274,60.81,🔥 ВЫСОКАЯ,2026-02-26T20:13:13
Fulham vs West Ham United,Премьер-лига,2026-03-04,19:30,Тотал,Больше 2.5,0.734,1.87,0.5348,0.1993,107.09,🔥 ВЫСОКАЯ,2026-02-26T20:13:13
Brighton & Hove Albion vs Arsenal,Премьер-лига,2026-03-04,19:30,Исход,Победа хозяев (1),0.5111,5.4,0.1852,0.326,100.01,🔥 ВЫСОКАЯ,2026-02-26T20:13:14
Brighton & Hove Albion vs Arsenal,Премьер-лига,2026-03-04,19:30,Тотал,Больше 2.5,0.7762,1.96,0.5102,0.266,135.77,🔥 ВЫСОКАЯ,2026-02-26T20:13:14
Manchester City vs Nottingham Forest,Премьер-лига,2026-03-04,19:30,Исход,Победа хозяев (1),0.9288,1.42,0.7042,0.2246,189.81,🔥 ВЫСОКАЯ,2026-02-26T20:13:15
Manchester City vs Nottingham Forest,Премьер-лига,2026-03-04,19:30,Тотал,Больше 2.5,0.8891,1.53,0.6536,0.2355,169.98,🔥 ВЫСОКАЯ,2026-02-26T20:13:15
Manchester City vs Nottingham Forest,Премьер-лига,2026-03-04,19:30,Тотал,Больше 3.5,0.758,2.46,0.4065,0.3515,148.07,🔥 ВЫСОКАЯ,2026-02-26T20:13:15
Newcastle United vs Manchester United,Премьер-лига,2026-03-04,20:15,Исход,Победа хозяев (1),0.7837,2.54,0.3937,0.39,160.8,🔥 ВЫСОКАЯ,2026-02-26T20:13:16
Newcastle United vs Manchester United,Премьер-лига,2026-03-04,20:15,Тотал,Больше 2.5,0.783,1.52,0.6579,0.1251,91.43,🔥 ВЫСОКАЯ,2026-02-26T20:13:16
Newcastle United vs Manchester United,Премьер-лига,2026-03-04,20:15,Тотал,Больше 3.5,0.5952,2.36,0.4237,0.1714,74.37,🔥 ВЫСОКАЯ,2026-02-26T20:13:16
